EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,DateSurvey
1,3.0,4.0,2.0,2015-12-31
2,3.0,2.0,4.0,2015-12-31
3,2.0,2.0,1.0,2015-12-31
4,4.0,4.0,3.0,2015-12-31
5,4.0,1.0,3.0,2015-12-31
6,3.0,2.0,2.0,2015-12-31
7,1.0,3.0,1.0,2015-12-31
8,1.0,2.0,3.0,2015-12-31
9,2.0,4.0,3.0,2015-12-31
10,2.0,1.0,3.0,2015-12-31
11,3.0,4.0,3.0,2015-12-31
12,,4.0,3.0,2015-12-31
13,4.0,1.0,3.0,2015-12-31
14,1.0,2.0,2.0,2015-12-31
15,4.0,4.0,2.0,2015-12-31
16,3.0,4.0,4.0,2015-12-31
17,4.0,3.0,4.0,2015-12-31
18,1.0,4.0,3.0,2015-12-31
19,2.0,2.0,2.0,2015-12-31
20,1.0,1.0,3.0,2015-12-31
21,3.0,2.0,1.0,2015-12-31
22,1.0,2.0,2.0,2015-12-31
23,3.0,3.0,2.0,2015-12-31
24,2.0,3.0,3.0,2015-12-31
25,2.0,4.0,2.0,2015-12-31
26,2.0,4.0,3.0,2015-12-31
27,1.0,1.0,3.0,2015-12-31
28,4.0,4.0,3.0,2015-12-31
29,4.0,3.0,1.0,2015-12-31
30,4.0,4.0,3.0,2015-12-31
31,1.0,2.0,3.0,2015-12-31
32,4.0,4.0,3.0,2015-12-31
33,3.0,1.0,3.0,2015-12-31
34,3.0,2.0,3.0,2015-12-31
35,4.0,2.0,2.0,2015-12-31
36,4.0,4.0,3.0,2015-12-31
37,2.0,4.0,2.0,2015-12-31
38,3.0,2.0,4.0,2015-12-31
39,3.0,3.0,3.0,2015-12-31
40,3.0,2.0,2.0,2015-12-31
41,3.0,,3.0,2015-12-31
42,4.0,2.0,3.0,2015-12-31
43,4.0,2.0,3.0,2015-12-31
44,4.0,3.0,3.0,2015-12-31
45,2.0,1.0,3.0,2015-12-31
46,2.0,4.0,2.0,2015-12-31
47,3.0,4.0,2.0,2015-12-31
48,2.0,2.0,3.0,2015-12-31
49,4.0,3.0,2.0,2015-12-31
50,1.0,2.0,3.0,2015-12-31
51,4.0,3.0,3.0,2015-12-31
52,3.0,4.0,3.0,2015-12-31
53,1.0,1.0,3.0,2015-12-31
54,1.0,1.0,3.0,2015-12-31
55,3.0,4.0,1.0,2015-12-31
56,4.0,2.0,3.0,2015-12-31
57,3.0,1.0,3.0,2015-12-31
58,3.0,4.0,3.0,2015-12-31
59,3.0,3.0,3.0,2015-12-31
60,3.0,2.0,2.0,2015-12-31
61,3.0,2.0,2.0,2015-12-31
62,3.0,2.0,3.0,2015-12-31
63,4.0,3.0,3.0,2015-12-31
64,4.0,4.0,3.0,2015-12-31
65,1.0,4.0,2.0,2015-12-31
66,1.0,4.0,2.0,2015-12-31
67,4.0,4.0,3.0,2015-12-31
68,3.0,3.0,3.0,2015-12-31
69,3.0,4.0,3.0,2015-12-31
70,4.0,3.0,2.0,2015-12-31
71,2.0,4.0,2.0,2015-12-31
72,4.0,3.0,3.0,2015-12-31
73,3.0,3.0,4.0,2015-12-31
74,3.0,2.0,3.0,2015-12-31
75,4.0,3.0,2.0,2015-12-31
76,3.0,1.0,2.0,2015-12-31
77,4.0,4.0,3.0,2015-12-31
78,2.0,4.0,2.0,2015-12-31
79,2.0,1.0,2.0,2015-12-31
80,2.0,4.0,3.0,2015-12-31
81,4.0,3.0,3.0,2015-12-31
82,2.0,2.0,3.0,2015-12-31
83,4.0,4.0,2.0,2015-12-31
84,3.0,4.0,3.0,2015-12-31
85,3.0,4.0,,2015-12-31
86,4.0,2.0,3.0,2015-12-31
87,3.0,2.0,3.0,2015-12-31
88,3.0,4.0,2.0,2015-12-31
89,4.0,2.0,3.0,2015-12-31
90,2.0,3.0,3.0,2015-12-31
91,1.0,4.0,3.0,2015-12-31
92,4.0,3.0,2.0,2015-12-31
93,3.0,3.0,3.0,2015-12-31
94,3.0,2.0,3.0,2015-12-31
95,1.0,3.0,1.0,2015-12-31
96,3.0,1.0,3.0,2015-12-31
97,4.0,3.0,4.0,2015-12-31
98,3.0,3.0,3.0,2015-12-31
99,1.0,4.0,3.0,2015-12-31
100,1.0,2.0,3.0,2015-12-31
101,4.0,4.0,3.0,2015-12-31
102,1.0,4.0,3.0,2015-12-31
103,4.0,3.0,3.0,2015-12-31
104,4.0,3.0,3.0,2015-12-31
105,1.0,4.0,2.0,2015-12-31
106,4.0,3.0,3.0,2015-12-31
107,3.0,1.0,3.0,2015-12-31
108,3.0,3.0,4.0,2015-12-31
109,1.0,2.0,3.0,2015-12-31
110,4.0,4.0,3.0,2015-12-31
