Age,BusinessTravel,DistanceFromHome,Education,EducationField,EmployeeID,JobLevel,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Year,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,Attrition
51,Travel_Rarely,6,2,Life Sciences,1,1,Married,131160,1.0,11,0,1.0,6,1,0,0,2015,3.0,4.0,2.0,3,0
51,Travel_Rarely,6,2,Life Sciences,1,1,Married,131160,1.0,11,0,1.0,6,1,0,0,2016,3.0,4.0,2.0,3,0
31,Travel_Frequently,10,1,Life Sciences,2,1,Single,41890,0.0,23,1,6.0,3,5,1,4,2015,3.0,2.0,4.0,2,1
32,Travel_Frequently,17,4,Other,3,4,Married,193280,1.0,15,3,5.0,2,5,0,3,2015,2.0,2.0,1.0,3,0
32,Travel_Frequently,17,4,Other,3,4,Married,193280,1.0,15,3,5.0,2,5,0,3,2016,2.0,2.0,1.0,3,0
38,Non-Travel,2,5,Life Sciences,4,3,Married,83210,3.0,11,3,13.0,5,8,7,5,2015,4.0,4.0,3.0,2,0
38,Non-Travel,2,5,Life Sciences,4,3,Married,83210,3.0,11,3,13.0,5,8,7,5,2016,4.0,4.0,3.0,2,0
32,Travel_Rarely,10,1,Medical,5,1,Single,23420,4.0,12,2,9.0,2,6,0,4,2015,4.0,1.0,3.0,3,0
32,Travel_Rarely,10,1,Medical,5,1,Single,23420,4.0,12,2,9.0,2,6,0,4,2016,4.0,1.0,3.0,3,0
46,Travel_Rarely,8,3,Life Sciences,6,4,Married,40710,3.0,13,0,28.0,5,7,7,7,2015,3.0,2.0,2.0,3,0
46,Travel_Rarely,8,3,Life Sciences,6,4,Married,40710,3.0,13,0,28.0,5,7,7,7,2016,3.0,2.0,2.0,3,0
28,Travel_Rarely,11,2,Medical,7,2,Single,58130,2.0,20,1,5.0,2,0,0,0,2015,1.0,3.0,1.0,3,1
29,Travel_Rarely,18,3,Life Sciences,8,2,Married,31430,2.0,22,3,10.0,2,0,0,0,2015,1.0,2.0,3.0,3,0
29,Travel_Rarely,18,3,Life Sciences,8,2,Married,31430,2.0,22,3,10.0,2,0,0,0,2016,1.0,2.0,3.0,3,0
31,Travel_Rarely,1,3,Life Sciences,9,3,Married,20440,0.0,21,0,10.0,2,9,7,8,2015,2.0,4.0,3.0,3,0
31,Travel_Rarely,1,3,Life Sciences,9,3,Married,20440,0.0,21,0,10.0,2,9,7,8,2016,2.0,4.0,3.0,3,0
25,Non-Travel,7,4,Medical,10,4,Divorced,134640,1.0,13,1,6.0,2,6,1,5,2015,2.0,1.0,3.0,3,0
25,Non-Travel,7,4,Medical,10,4,Divorced,134640,1.0,13,1,6.0,2,6,1,5,2016,2.0,1.0,3.0,3,0
45,Travel_Rarely,17,2,Medical,11,2,Married,79910,0.0,13,2,21.0,2,20,4,10,2015,3.0,4.0,3.0,2,0
45,Travel_Rarely,17,2,Medical,11,2,Married,79910,0.0,13,2,21.0,2,20,4,10,2016,3.0,4.0,3.0,2,0
36,Travel_Rarely,28,1,Life Sciences,12,1,Married,33770,0.0,12,2,16.0,2,15,10,11,2015,3.0,4.0,3.0,3,0
36,Travel_Rarely,28,1,Life Sciences,12,1,Married,33770,0.0,12,2,16.0,2,15,10,11,2016,3.0,4.0,3.0,3,0
55,Travel_Rarely,14,4,Life Sciences,13,1,Single,55380,0.0,17,0,37.0,2,36,4,13,2015,4.0,1.0,3.0,3,0
55,Travel_Rarely,14,4,Life Sciences,13,1,Single,55380,0.0,17,0,37.0,2,36,4,13,2016,4.0,1.0,3.0,3,0
47,Non-Travel,1,1,Medical,14,1,Married,57620,1.0,11,2,10.0,4,10,9,9,2015,1.0,2.0,2.0,2,1
28,Travel_Rarely,1,3,Life Sciences,15,1,Married,25920,1.0,14,0,5.0,2,5,0,4,2015,4.0,4.0,2.0,3,0
28,Travel_Rarely,1,3,Life Sciences,15,1,Married,25920,1.0,14,0,5.0,2,5,0,4,2016,4.0,4.0,2.0,3,0
37,Travel_Rarely,1,3,Life Sciences,16,2,Married,53460,4.0,11,0,7.0,2,5,0,1,2015,3.0,4.0,4.0,3,0
37,Travel_Rarely,1,3,Life Sciences,16,2,Married,53460,4.0,11,0,7.0,2,5,0,1,2016,3.0,4.0,4.0,3,0
21,Travel_Rarely,3,2,Life Sciences,17,1,Single,42130,1.0,12,3,3.0,3,3,1,0,2015,4.0,3.0,4.0,2,0
21,Travel_Rarely,3,2,Life Sciences,17,1,Single,42130,1.0,12,3,3.0,3,3,1,0,2016,4.0,3.0,4.0,2,0
37,Non-Travel,1,3,Medical,18,2,Divorced,41270,2.0,13,1,15.0,2,5,0,2,2015,1.0,4.0,3.0,3,0
37,Non-Travel,1,3,Medical,18,2,Divorced,41270,2.0,13,1,15.0,2,5,0,2,2016,1.0,4.0,3.0,3,0
35,Travel_Rarely,7,4,Life Sciences,19,1,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2015,2.0,2.0,2.0,2,0
35,Travel_Rarely,7,4,Life Sciences,19,1,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2016,2.0,2.0,2.0,2,0
38,Travel_Rarely,8,3,Life Sciences,20,1,Divorced,68700,1.0,11,1,8.0,5,8,7,7,2015,1.0,1.0,3.0,3,0
38,Travel_Rarely,8,3,Life Sciences,20,1,Divorced,68700,1.0,11,1,8.0,5,8,7,7,2016,1.0,1.0,3.0,3,0
26,Travel_Frequently,1,4,Other,21,2,Divorced,104470,1.0,18,0,6.0,3,6,1,4,2015,3.0,2.0,1.0,3,0
26,Travel_Frequently,1,4,Other,21,2,Divorced,104470,1.0,18,0,6.0,3,6,1,4,2016,3.0,2.0,1.0,3,0
